timestamp,dx,dy,D,speed
1618417004673728000,-2,1,0,2.23607
1618417004681734000,-1,3,1.14865,3.16228
1618417004689702000,-1,3,1.14804,3.16228
1618417004697719000,0,3,1.14744,3
1618417004705804000,0,3,1.14593,3
1618417004713711000,0,4,1.14442,4
1618417004721779000,0,4,1.14243,4
1618417004729753000,3,4,1.14045,5
1618417004737716000,5,4,1.13573,6.40312
1618417004745717000,8,4,1.12917,8.94427
1618417004753684000,10,4,1.11985,10.7703
1618417004761721000,12,5,1.1087,13
1618417004769733000,15,6,1.09523,16.1555
1618417004777741000,16,6,1.07851,17.088
1618417004785742000,18,7,1.06088,19.3132
1618417004793737000,20,8,1.04092,21.5407
1618417004801856000,21,10,1.01865,23.2594
1618417004809775000,23,12,0.99446,25.9422
1618417004818058000,24,13,0.967444,27.2947
1618417004825862000,24,14,0.939013,27.7849
1618417004833707000,24,14,0.910079,27.7849
1618417004841734000,24,15,0.881145,28.3019
1618417004850000000,25,14,0.85171,28.6531
1618417004857792000,24,12,0.821864,26.8328
1618417004865947000,23,12,0.793934,25.9422
1618417004873697000,23,12,0.766917,25.9422
1618417004882036000,22,12,0.739901,25.0599
1618417004890139000,22,13,0.713797,25.5539
1618417004898117000,22,13,0.687191,25.5539
1618417004906467000,22,13,0.660585,25.5539
1618417004914062000,22,13,0.633981,25.5539
1618417004922347000,21,13,0.607377,24.6982
1618417004929743000,21,12,0.581691,24.1868
1618417004937965000,20,13,0.556504,23.8537
1618417004946094000,18,11,0.531741,21.095
1618417004954004000,18,13,0.509804,22.2036
1618417004962109000,17,13,0.4869,21.4009
1618417004970116000,16,12,0.464944,20
1618417004978028000,15,12,0.444421,19.2094
1618417004986055000,15,10,0.424862,18.0278
1618417004993790000,15,11,0.406251,18.6011
1618417005002271000,15,11,0.38721,18.6011
1618417005010114000,16,12,0.368204,20
1618417005018246000,17,13,0.347862,21.4009
1618417005026068000,18,14,0.326215,22.8035
1618417005034151000,18,14,0.303304,22.8035
1618417005042114000,18,13,0.280533,22.2036
1618417005050123000,18,11,0.258283,21.095
1618417005058359000,17,10,0.236843,19.7231
1618417005065926000,15,8,0.216812,17
1618417005074207000,15,7,0.199459,16.5529
1618417005082154000,14,6,0.182446,15.2315
1618417005089949000,13,6,0.166748,14.3178
1618417005097861000,13,5,0.152098,13.9284
1618417005106027000,13,5,0.137729,13.9284
1618417005114350000,12,5,0.123392,13
1618417005122215000,11,4,0.110126,11.7047
1618417005130050000,10,4,0.098127,10.7703
1618417005138131000,8,3,0.0872143,8.544
1618417005146247000,6,2,0.0785682,6.32456
1618417005154091000,3,1,0.0721462,3.16228
1618417005162022000,1,0,0.068947,1
1618417005170133000,1,0,0.0679084,1
1618417005218795000,1,-1,0.0668698,1.41421
1618417005282060000,2,-1,0.0659219,2.23607
1618417005289763000,1,0,0.0639587,1
1618417005297901000,2,0,0.0629239,2
1618417005305983000,2,0,0.0608551,2
1618417005313846000,3,0,0.0587873,3
1618417005321771000,3,0,0.0556878,3
1618417005329958000,4,0,0.0525913,4
1618417005338251000,4,0,0.0484683,4
1618417005345802000,5,1,0.0443535,5.09902
1618417005353885000,4,1,0.0390451,4.12311
1618417005362533000,2,0,0.0347673,2
1618417005369895000,4,1,0.032709,4.12311
1618417005377722000,3,1,0.028432,3.16228
1618417005385743000,2,0,0.0251946,2
1618417005393809000,2,0,0.0231288,2
1618417005401831000,3,1,0.0210664,3.16228
1618417005417833000,2,0,0.0178305,2
1618417005425783000,1,0,0.0157633,1
1618417005433892000,1,0,0.0147314,1
1618417005441889000,1,0,0.013701,1
1618417005449773000,1,0,0.0126724,1
1618417005457724000,1,0,0.0116462,1
1618417005465734000,1,0,0.010623,1
1618417005473699000,0,0,0.00960369,0
1618417005553724000,0,0,0.0842068,0
1618417005602104000,-1,-3,0.0842068,3.16228
1618417005610035000,-1,-3,0.0814497,3.16228
1618417005617858000,-1,-5,0.0787339,5.09902
1618417005625829000,-1,-6,0.0740867,6.08276
1618417005633966000,-1,-7,0.068562,7.07107
1618417005642190000,-2,-8,0.0622401,8.24621
1618417005649845000,-1,-10,0.0557723,10.0499
1618417005657865000,-2,-12,0.047658,12.1655
1618417005665733000,-2,-13,0.040055,13.1529
1618417005673839000,-1,-14,0.0351125,14.0357
1618417005681824000,1,-12,0.0341946,12.0416
1618417005689923000,1,-11,0.0363788,11.0454
1618417005698700000,2,-7,0.0416603,7.28011
1618417005705778000,2,-5,0.0452626,5.38516
1618417005713807000,3,-4,0.048055,5
1618417005721800000,3,-3,0.0498884,4.24264
1618417005729962000,3,-3,0.0512328,4.24264
1618417005737813000,3,-2,0.0529132,3.60555
1618417005745796000,3,-2,0.0538994,3.60555
1618417005753848000,3,-1,0.0551243,3.16228
1618417005761931000,1,-1,0.0555446,1.41421
1618417005825951000,1,1,0.0564146,1.41421
1618417005833869000,1,1,0.0552421,1.41421
1618417005841851000,0,1,0.0540842,1
1618417005849749000,0,3,0.053049,3
1618417005858173000,0,3,0.0499451,3
1618417005865765000,0,3,0.0468439,3
1618417005873900000,1,5,0.0437461,5.09902
1618417005881769000,1,3,0.0384458,3.16228
1618417005889956000,1,4,0.0352188,4.12311
1618417005897923000,0,3,0.0309682,3
1618417005905824000,1,4,0.0278578,4.12311
1618417005913836000,1,3,0.0236146,3.16228
1618417005921804000,0,2,0.0204352,2
1618417005929885000,1,4,0.0183534,4.12311
1618417005938185000,1,3,0.0141742,3.16228
1618417005945803000,1,2,0.0111261,2.23607
1618417005953866000,1,2,0.00927141,2.23607
1618417005962292000,0,1,0.0076798,1
1618417005969855000,0,1,0.00676252,1
1618417005977861000,0,1,0.0058868,1
1618417006001944000,0,0,0.00507416,0
1618417006089733000,0,0,0.886888,0
1618417006177699000,1,3,0.886888,3.16228
1618417006185822000,4,3,0.886951,5
1618417006193815000,8,4,0.884087,8.94427
1618417006201705000,13,5,0.877698,13.9284
1618417006209865000,17,5,0.866867,17.72
1618417006217717000,21,4,0.852273,21.3776
1618417006225715000,23,2,0.833584,23.0868
1618417006233676000,25,-1,0.812336,25.02
1618417006241666000,26,-5,0.78807,26.4764
1618417006249690000,27,-9,0.76124,28.4605
1618417006257697000,30,-11,0.731766,31.9531
1618417006265715000,32,-12,0.698595,34.176
1618417006273664000,35,-14,0.663106,37.6962
1618417006282029000,40,-16,0.623913,43.0813
1618417006289945000,42,-14,0.579133,44.2719
1618417006297743000,43,-13,0.533419,44.9222
1618417006305723000,43,-12,0.487329,44.643
1618417006314509000,43,-12,0.441882,44.643
1618417006321685000,39,-13,0.396681,41.1096
1618417006329706000,37,-13,0.354823,39.2173
1618417006337680000,32,-12,0.314974,34.176
1618417006345692000,28,-11,0.280296,30.0832
1618417006353665000,24,-11,0.249858,26.4008
1618417006361750000,19,-9,0.222968,21.0238
1618417006369707000,14,-9,0.201606,16.6433
1618417006377715000,10,-8,0.184373,12.8062
1618417006385674000,6,-7,0.171034,9.21954
1618417006393684000,3,-6,0.161586,6.7082
1618417006401687000,2,-5,0.155264,5.38516
1618417006409688000,0,-3,0.150459,3
1618417006417744000,0,-4,0.148617,4
1618417006426188000,0,-3,0.146229,3
1618417006433698000,-1,-3,0.144491,3.16228
1618417006537740000,1,-2,0.143682,2.23607
1618417006545671000,3,-2,0.1417,3.60555
1618417006553768000,4,-2,0.137947,4.47214
1618417006561678000,6,-2,0.133306,6.32456
1618417006569964000,8,-3,0.1269,8.544
1618417006578249000,8,-3,0.118201,8.544
1618417006585750000,8,-3,0.109534,8.544
1618417006593682000,8,-3,0.100907,8.544
1618417006601829000,9,-4,0.0923319,9.84886
1618417006609704000,10,-4,0.0823612,10.7703
1618417006617707000,9,-4,0.0716813,9.84886
1618417006626468000,9,-4,0.061943,9.84886
