timestamp,dx,dy,D,speed,click
1618417239417918000,1,0,0,1,0
1618417239426448000,3,-1,1.14644,3.16228,0
1618417239434781000,5,-1,1.14423,5.09902,0
1618417239442157000,8,-1,1.14022,8.06226,0
1618417239450384000,10,0,1.1335,10,0
1618417239458675000,14,0,1.12449,14,0
1618417239466019000,16,0,1.11191,16,0
1618417239474457000,17,0,1.09759,17,0
1618417239482652000,18,0,1.08245,18,0
1618417239490921000,18,0,1.06651,18,0
1618417239498323000,19,1,1.05066,19.0263,0
1618417239506542000,17,2,1.03347,17.1172,0
1618417239514127000,16,2,1.01753,16.1245,0
1618417239522048000,16,3,1.00252,16.2788,0
1618417239531527000,14,3,0.986975,14.3178,0
1618417239538287000,12,3,0.973191,12.3693,0
1618417239548385000,10,4,0.961147,10.7703,0
1618417239554044000,8,4,0.950227,8.94427,0
1618417239561923000,6,3,0.941015,6.7082,0
1618417239570524000,4,3,0.934107,5,0
1618417239578010000,2,3,0.928901,3.60555,0
1618417239585838000,2,1,0.925396,2.23607,0
1618417239594091000,1,1,0.923094,1.41421,0
1618417239641914000,0,2,0.921642,2,0
1618417239650279000,1,4,0.920443,4.12311,0
1618417239657898000,2,5,0.917199,5.38516,0
1618417239666187000,4,7,0.912515,8.06226,0
1618417239673851000,6,9,0.904944,10.8167,0
1618417239682244000,10,10,0.894493,14.1421,0
1618417239690623000,13,12,0.880026,17.6918,0
1618417239698702000,17,14,0.861812,22.0227,0
1618417239706326000,21,14,0.838984,25.2389,0
1618417239714011000,24,15,0.812694,28.3019,0
1618417239721856000,27,17,0.783226,31.9061,0
1618417239729918000,29,17,0.750004,33.6155,0
1618417239738386000,30,18,0.715055,34.9857,0
1618417239746023000,31,19,0.678666,36.3593,0
1618417239754041000,31,19,0.640835,36.3593,0
1618417239762114000,31,19,0.60301,36.3593,0
1618417239770129000,32,19,0.565191,37.2156,0
1618417239778129000,31,19,0.526527,36.3593,0
1618417239786042000,32,19,0.488729,37.2156,0
1618417239794060000,31,18,0.450098,35.8469,0
1618417239802844000,29,17,0.412947,33.6155,0
1618417239810479000,27,16,0.378126,31.3847,0
1618417239818154000,25,15,0.345634,29.1548,0
1618417239825847000,23,14,0.315467,26.9258,0
1618417239834010000,21,13,0.287621,24.6982,0
1618417239842062000,18,11,0.26209,21.095,0
1618417239849946000,15,9,0.240336,17.4929,0
1618417239857907000,13,8,0.222354,15.2643,0
1618417239866287000,10,6,0.206665,11.6619,0
1618417239873859000,8,5,0.194728,9.43398,0
1618417239882141000,6,4,0.185056,7.2111,0
1618417239890199000,4,3,0.177637,5,0
1618417239898007000,3,3,0.172458,4.24264,0
1618417239905933000,3,2,0.168041,3.60555,0
1618417239914028000,3,1,0.164336,3.16228,0
1618417239922340000,2,1,0.161351,2.23607,0
1618417239930100000,2,1,0.159126,2.23607,0
1618417239938137000,1,1,0.156905,1.41421,0
1618417239953939000,2,1,0.155432,2.23607,0
1618417240002071000,1,1,0.153214,1.41421,0
1618417240010075000,2,2,0.15174,2.82843,0
1618417240018243000,4,3,0.148794,5,0
1618417240026147000,6,5,0.143633,7.81025,0
1618417240034155000,8,5,0.135529,9.43398,0
1618417240042144000,8,5,0.125973,9.43398,0
1618417240050379000,9,5,0.116462,10.2956,0
1618417240058224000,9,5,0.106321,10.2956,0
1618417240066354000,8,5,0.0963077,9.43398,0
1618417240074229000,8,5,0.0870836,9.43398,0
1618417240082128000,8,4,0.0780069,8.94427,0
1618417240090098000,7,4,0.0700322,8.06226,0
1618417240098065000,7,4,0.0628894,8.06226,0
1618417240106013000,6,4,0.0560955,7.2111,0
1618417240114145000,4,3,0.0500867,5,0
1618417240122151000,3,2,0.045987,3.60555,0
1618417240130077000,2,2,0.0433263,2.82843,0
1618417240138110000,1,1,0.0409575,1.41421,0
1618417240146136000,1,1,0.039802,1.41421,0
1618417240162208000,0,2,0.0386681,2,0
1618417240170207000,1,3,0.036592,3.16228,0
1618417240178489000,1,2,0.0333984,2.23607,0
1618417240186130000,1,3,0.0312674,3.16228,0
1618417240194068000,1,3,0.028125,3.16228,0
1618417240202107000,2,3,0.0250217,3.60555,0
1618417240210314000,1,2,0.0220971,2.23607,0
1618417240218464000,1,2,0.0202255,2.23607,0
1618417240226013000,1,1,0.0184584,1.41421,0
1618417240242113000,1,2,0.0178,2.23607,0
1618417240266117000,0,0,0.0163047,0,1
1618417240346296000,0,0,0.241723,0,0
1618417240450043000,3,-1,0.241723,3.16228,0
1618417240458094000,2,-1,0.240066,2.23607,0
1618417240466245000,4,-2,0.238639,4.47214,0
1618417240474083000,6,-2,0.235829,6.32456,0
1618417240482116000,9,-3,0.232755,9.48683,0
1618417240490220000,10,-4,0.228422,10.7703,0
1618417240497962000,11,-5,0.223329,12.083,0
1618417240506048000,12,-7,0.217631,13.8924,0
1618417240514331000,12,-9,0.210485,15,0
1618417240522116000,11,-12,0.202044,16.2788,0
1618417240530061000,10,-14,0.191237,17.2047,0
1618417240538008000,10,-16,0.1791,18.868,0
1618417240546041000,8,-16,0.166027,17.8885,0
1618417240554208000,7,-16,0.153506,17.4642,0
1618417240562217000,6,-15,0.141819,16.1555,0
1618417240569876000,5,-14,0.131868,14.8661,0
1618417240578301000,4,-13,0.123521,13.6015,0
1618417240586647000,2,-12,0.11659,12.1655,0
1618417240594331000,1,-10,0.11002,10.0499,0
1618417240602360000,1,-9,0.104817,9.05539,0
1618417240610255000,0,-7,0.100928,7,0
1618417240618188000,-1,-7,0.0976856,7.07107,0
1618417240626150000,-1,-5,0.0939187,5.09902,0
1618417240634140000,-1,-5,0.0912132,5.09902,0
1618417240641879000,-2,-4,0.0887434,4.47214,0
1618417240650154000,-2,-3,0.0857304,3.60555,0
1618417240658369000,-2,-2,0.0830581,2.82843,0
1618417240666241000,-1,-2,0.0806394,2.23607,0
1618417240674186000,-2,-2,0.0792876,2.82843,0
1618417240682270000,-2,-1,0.0769477,2.23607,0
1618417240690240000,-2,-1,0.0747582,2.23607,0
1618417240698165000,-2,-1,0.0725775,2.23607,0
1618417240706112000,-2,-1,0.0704062,2.23607,0
1618417240714130000,-2,-1,0.0682453,2.23607,0
1618417240722295000,-3,-1,0.0660959,3.16228,0
1618417240730301000,-3,-1,0.0629186,3.16228,0
1618417240738209000,-3,-1,0.0597539,3.16228,0
1618417240746214000,-3,-1,0.056604,3.16228,0
1618417240754255000,-3,-1,0.0534715,3.16228,0
1618417240762381000,-3,0,0.0503596,3,0
1618417240770391000,-5,-1,0.0472354,5.09902,0
1618417240778377000,-4,0,0.0420703,4,0
1618417240786515000,-5,0,0.0379099,5,0
1618417240794242000,-5,0,0.0327117,5,0
1618417240802409000,-5,0,0.0275173,5,0
1618417240810429000,-5,0,0.0223294,5,0
1618417240818233000,-5,0,0.0171539,5,0
1618417240826216000,-4,0,0.0120069,4,0
1618417240834095000,-4,0,0.00794695,4,0
1618417240842120000,-3,0,0.0041067,3,0
1618417240850114000,-2,0,0.00222139,2,0
1618417240858155000,-2,0,0.00279852,2,0
1618417240866133000,-2,0,0.00440561,2,0
1618417240874167000,-1,0,0.00629822,1,0
1618417240882121000,-1,0,0.00728368,1,0
1618417240890069000,-1,0,0.0082829,1,0
1618417240898087000,-1,0,0.00929145,1,0
1618417240914290000,-1,0,0.0103066,1,0
1618417240930111000,-1,0,0.0113265,1,0
1618417240962433000,0,0,0.0123501,0,1
1618417241026296000,0,0,1.20618,0,0
1618417241170258000,-2,1,1.20618,2.23607,0
1618417241178409000,-2,1,1.20389,2.23607,0
1618417241186299000,-4,3,1.2016,5,0
1618417241194246000,-6,4,1.19639,7.2111,0
1618417241202304000,-9,6,1.18889,10.8167,0
1618417241210296000,-11,9,1.17764,14.2127,0
1618417241218232000,-14,11,1.16285,17.8045,0
1618417241226189000,-16,12,1.14431,20,0
1618417241234285000,-18,15,1.12347,23.4307,0
1618417241242386000,-21,16,1.0991,26.4008,0
1618417241250149000,-23,18,1.0716,29.2062,0
1618417241258325000,-26,20,1.04118,32.8024,0
1618417241266201000,-28,22,1.00702,35.609,0
1618417241274205000,-31,24,0.969933,39.2046,0
1618417241282285000,-34,23,0.929102,41.0488,0
1618417241290257000,-36,22,0.88639,42.19,0
1618417241298300000,-38,22,0.842649,43.909,0
1618417241306395000,-38,22,0.797278,43.909,0
1618417241314325000,-38,22,0.751952,43.909,0
1618417241322255000,-37,22,0.706678,43.0465,0
1618417241330262000,-37,22,0.662278,43.0465,0
1618417241338332000,-35,21,0.61794,40.8167,0
1618417241346941000,-32,19,0.575944,37.2156,0
1618417241354456000,-30,18,0.537756,34.9857,0
1618417241362297000,-26,17,0.501904,31.0644,0
1618417241370409000,-23,16,0.469925,28.0179,0
1618417241378543000,-20,15,0.441001,25,0
1618417241386467000,-16,12,0.415105,20,0
1618417241394246000,-13,9,0.394402,15.8114,0
1618417241402416000,-10,7,0.378132,12.2066,0
1618417241410371000,-9,5,0.365573,10.2956,0
1618417241418248000,-7,4,0.355228,8.06226,0
1618417241426387000,-5,4,0.347117,6.40312,0
1618417241434551000,-4,3,0.340488,5,0
1618417241442221000,-3,2,0.335333,3.60555,0
1618417241450173000,-2,1,0.331654,2.23607,0
1618417241458029000,-2,2,0.329449,2.82843,0
1618417241466440000,-2,1,0.326503,2.23607,0
1618417241474500000,-1,2,0.3243,2.23607,0
1618417241482385000,-2,2,0.322083,2.82843,0
1618417241490564000,-2,2,0.319137,2.82843,0
1618417241498283000,-2,2,0.316191,2.82843,0
1618417241506556000,-3,3,0.313245,4.24264,0
1618417241514736000,-3,4,0.308826,5,0
1618417241522362000,-3,4,0.303665,5,0
1618417241530889000,-3,4,0.298505,5,0
1618417241538060000,-4,4,0.293347,5.65685,0
1618417241546246000,-4,5,0.287455,6.40312,0
1618417241554117000,-6,5,0.280826,7.81025,0
1618417241562405000,-6,5,0.272723,7.81025,0
1618417241570152000,-8,6,0.264623,10,0
1618417241578082000,-9,6,0.254322,10.8167,0
