timestamp,dx,dy,D,speed,radius,clicks,correct
1619606056632422000,0,0,0.740834,0,0.1,1,1
1619606056838957000,-3,1,0.740834,3.16228,0.1,2,1
1619606056846227000,-6,1,0.738963,6.08276,0.1,2,1
1619606056854786000,-8,3,0.73383,8.544,0.1,2,1
1619606056862794000,-11,4,0.724974,11.7047,0.1,2,1
1619606056870992000,-14,6,0.710527,15.2315,0.1,2,1
1619606056877965000,-17,7,0.690028,18.3848,0.1,2,1
1619606056886693000,-19,7,0.660678,20.2485,0.1,2,1
1619606056894136000,-21,9,0.625757,22.8473,0.1,2,1
1619606056902220000,-23,9,0.583853,24.6982,0.1,2,1
1619606056910815000,-23,9,0.535936,24.6982,0.1,2,1
1619606056918304000,-24,10,0.488978,26,0.1,2,1
1619606056925746000,-23,9,0.437407,24.6982,0.1,2,1
1619606056934277000,-22,9,0.390149,23.7697,0.1,2,1
1619606056941376000,-21,9,0.345182,22.8473,0.1,2,1
1619606056950748000,-19,9,0.303502,21.0238,0.1,2,1
1619606056958484000,-17,8,0.265992,18.7883,0.1,2,1
1619606056967386000,-16,8,0.236378,17.8885,0.1,2,1
1619606056974760000,-14,7,0.208562,15.6525,0.1,2,1
1619606056982438000,-13,6,0.187153,14.3178,0.1,2,1
1619606056990440000,-13,5,0.169203,13.9284,0.1,2,1
1619606056997700000,-11,5,0.153319,12.083,0.1,2,1
1619606057006474000,-10,4,0.139477,10.7703,0.1,2,1
1619606057014436000,-9,4,0.127706,9.84886,0.1,2,1
1619606057021416000,-9,3,0.117052,9.48683,0.1,2,1
1619606057030246000,-8,4,0.106806,8.94427,0.1,2,1
1619606057038160000,-8,3,0.0976438,8.544,0.1,2,1
1619606057046666000,-9,3,0.0891369,9.48683,0.1,2,1
1619606057054721000,-8,4,0.0790511,8.94427,0.1,2,1
1619606057063135000,-9,5,0.0699759,10.2956,0.1,2,1
1619606057070418000,-10,6,0.0579904,11.6619,0.1,2,1
1619606057078755000,-10,6,0.0452531,11.6619,0.1,2,1
1619606057086418000,-11,6,0.0318681,12.53,0.1,2,1
1619606057093948000,-11,7,0.0170353,13.0384,0.1,2,1
1619606057101480000,-12,7,0.00232309,13.8924,0.1,2,1
1619606057110151000,-12,6,-0.0136552,13.4164,0.1,2,1
1619606057119639000,-12,5,-0.028409,13,0.1,2,1
1619606057125937000,-10,4,-0.0409112,10.7703,0.1,2,1
1619606057134552000,-10,4,-0.0493787,10.7703,0.1,2,1
1619606057144284000,-8,4,-0.0560585,8.94427,0.1,2,1
1619606057149754000,-8,3,-0.0604119,8.544,0.1,2,1
1619606057158306000,-7,3,-0.0615713,7.61577,0.1,2,1
1619606057166606000,-7,2,-0.0618596,7.28011,0.1,2,1
1619606057173689000,-7,1,-0.0594142,7.07107,0.1,2,1
1619606057182875000,-6,1,-0.0550963,6.08276,0.1,2,1
1619606057190100000,-5,1,-0.0509038,5.09902,0.1,2,1
1619606057197804000,-5,1,-0.0480557,5.09902,0.1,2,1
1619606057206239000,-4,0,-0.0450194,4,0.1,2,1
1619606057214115000,-4,0,-0.0422757,4,0.1,2,1
1619606057222055000,-4,0,-0.0394949,4,0.1,2,1
1619606057229445000,-3,1,-0.0366821,3.16228,0.1,2,1
1619606057238206000,-1,0,-0.034259,1,0.1,2,1
1619606057246778000,-1,0,-0.034259,1,0.1,2,1
1619606057254650000,-1,0,-0.0333004,1,0.1,2,1
1619606057439769000,1,0,-0.0333004,1,0.1,2,1
1619606057449071000,2,0,-0.0333004,2,0.1,2,1
1619606057457910000,4,0,-0.034259,4,0.1,2,1
1619606057465413000,5,0,-0.0371186,5,0.1,2,1
1619606057473804000,6,1,-0.0418242,6.08276,0.1,2,1
1619606057480976000,4,1,-0.0469329,4.12311,0.1,2,1
1619606057486641000,4,1,-0.0496718,4.12311,0.1,2,1
1619606057494263000,1,0,-0.0528988,1,0.1,2,1
1619606057501541000,2,0,-0.0537941,2,0.1,2,1
1619606057509832000,1,0,-0.0546833,1,0.1,2,1
1619606057550190000,0,0,-0.0555657,0,0.1,2,1
1619606057623167000,1,0,0.304768,1,0.166,3,2
1619606057630313000,1,0,0.304768,1,0.166,3,2
1619606057640912000,1,0,0.304057,1,0.166,3,2
1619606057648182000,0,0,0.303348,0,0.166,3,2
1619606057656645000,1,0,0.303348,1,0.166,3,2
1619606057662497000,2,0,0.303348,2,0.166,4,2
1619606057670555000,1,0,0.30264,1,0.166,4,2
1619606057678314000,1,0,0.301933,1,0.166,4,2
1619606057685943000,2,0,0.301228,2,0.166,4,2
1619606057693733000,2,-1,0.300524,2.23607,0.166,4,2
1619606057703511000,2,0,0.299821,2,0.166,4,2
1619606057710593000,4,-1,0.298419,4.12311,0.166,4,2
1619606057718054000,4,-1,0.295551,4.12311,0.166,4,2
1619606057725633000,4,-1,0.292689,4.12311,0.166,4,2
1619606057736244000,6,-1,0.290612,6.08276,0.166,4,2
1619606057741428000,8,-1,0.286392,8.06226,0.166,4,2
1619606057749522000,9,-2,0.27949,9.21954,0.166,4,2
1619606057758294000,10,-3,0.271076,10.4403,0.166,4,2
1619606057766870000,11,-4,0.261418,11.7047,0.166,4,2
1619606057775348000,11,-4,0.250414,11.7047,0.166,4,2
1619606057782358000,11,-5,0.238704,12.083,0.166,4,2
1619606057789545000,11,-5,0.226504,12.083,0.166,4,2
1619606057798209000,9,-5,0.214199,10.2956,0.166,4,2
1619606057807058000,8,-4,0.204035,8.94427,0.166,4,2
1619606057815319000,7,-5,0.195096,8.60233,0.166,4,2
1619606057821861000,7,-5,0.186764,8.60233,0.166,4,2
1619606057829950000,6,-5,0.177912,7.81025,0.166,4,2
1619606057839358000,6,-6,0.170197,8.48528,0.166,4,2
1619606057846011000,6,-8,0.16161,10,0.166,4,2
1619606057857143000,6,-10,0.150355,11.6619,0.166,4,2
1619606057864252000,7,-11,0.136778,13.0384,0.166,4,2
1619606057870486000,6,-10,0.121773,11.6619,0.166,4,2
1619606057877602000,6,-10,0.108197,11.6619,0.166,4,2
1619606057885398000,6,-9,0.0951545,10.8167,0.166,4,2
1619606057893985000,5,-8,0.0824746,9.43398,0.166,4,2
1619606057902536000,5,-8,0.0717541,9.43398,0.166,4,2
1619606057910426000,4,-7,0.0619298,8.06226,0.166,4,2
1619606057917830000,3,-6,0.0535326,6.7082,0.166,4,2
1619606057926667000,3,-5,0.0465633,5.83095,0.166,4,2
1619606057933511000,1,-4,0.041385,4.12311,0.166,4,2
1619606057943155000,1,-3,0.0381666,3.16228,0.166,4,2
1619606057950008000,1,-3,0.0363807,3.16228,0.166,4,2
1619606057958661000,1,-3,0.0331686,3.16228,0.166,4,2
1619606057965462000,1,-3,0.0308476,3.16228,0.166,4,2
1619606057974124000,1,-4,0.0290725,4.12311,0.166,4,2
1619606057982524000,1,-5,0.0258682,5.09902,0.166,4,2
1619606057991962000,2,-6,0.0217862,6.32456,0.166,4,2
1619606057998956000,2,-6,0.0153985,6.32456,0.166,4,2
1619606058008221000,3,-6,0.00989633,6.7082,0.166,4,2
1619606058014759000,2,-6,0.00295742,6.32456,0.166,4,2
1619606058022791000,3,-6,-0.00280983,6.7082,0.166,4,2
1619606058031018000,3,-6,-0.0088725,6.7082,0.166,4,2
1619606058039708000,3,-5,-0.0157899,5.83095,0.166,4,2
1619606058045974000,3,-4,-0.0203978,5,0.166,4,2
1619606058054568000,2,-4,-0.02475,4.47214,0.166,4,2
1619606058061498000,1,-3,-0.0285051,3.16228,0.166,4,2
1619606058069431000,1,-2,-0.030209,2.23607,0.166,4,2
1619606058078387000,1,-2,-0.0325102,2.23607,0.166,4,2
1619606058085533000,1,-2,-0.0339631,2.23607,0.166,4,2
1619606058095789000,0,-1,-0.0348105,1,0.166,4,2
1619606058102591000,1,-3,-0.0356551,3.16228,0.166,4,2
1619606058112913000,0,-2,-0.0379525,2,0.166,4,2
1619606058121697000,1,-3,-0.0387924,3.16228,0.166,4,2
1619606058128253000,1,-2,-0.0419216,2.23607,0.166,4,2
1619606058135229000,0,-1,-0.0427533,1,0.166,4,2
1619606058143382000,1,-2,-0.0435818,2.23607,0.166,4,2
1619606058149673000,1,-1,-0.045042,1.41421,0.166,4,2
1619606058158715000,1,-1,-0.0456714,1.41421,0.166,4,2
1619606058166673000,1,-2,-0.046502,2.23607,0.166,4,2
1619606058174670000,1,-1,-0.0479615,1.41421,0.166,4,2
1619606058182783000,1,-1,-0.0487898,1.41421,0.166,4,2
1619606058191280000,1,-1,-0.0494208,1.41421,0.166,4,2
1619606058262226000,1,-2,-0.0508797,2.23607,0.166,4,2
1619606058269747000,1,-1,-0.0517102,1.41421,0.166,4,2
1619606058278274000,1,-1,-0.0531698,1.41421,0.166,4,2
1619606058294115000,1,-2,-0.0539979,2.23607,0.166,4,2
1619606058309957000,1,-2,-0.0554583,2.23607,0.166,4,2
1619606058398268000,1,-1,-0.0569184,1.41421,0.166,4,2
1619606058415024000,1,-2,-0.057745,2.23607,0.166,4,2
1619606058424731000,1,-1,-0.0592059,1.41421,0.166,4,2
1619606058536378000,1,-1,-0.0606664,1.41421,0.166,4,2
1619606058566432000,1,-1,-0.0606664,1.41421,0.166,4,2
1619606058782402000,0,0,-0.0621265,0,0.166,4,2
1619606058901951000,0,0,0.971351,0,0.2,5,3
1619606059029488000,3,0,0.971351,3,0.2,6,3
1619606059039092000,4,0,0.969381,4,0.2,6,3
1619606059046347000,7,0,0.966427,7,0.2,6,3
1619606059054611000,8,0,0.959536,8,0.2,6,3
1619606059061638000,9,0,0.951668,9,0.2,6,3
1619606059070695000,11,0,0.941842,11,0.2,6,3
1619606059077941000,12,0,0.930064,12,0.2,6,3
1619606059085887000,13,1,0.917323,13.0384,0.2,6,3
1619606059095140000,13,1,0.902286,13.0384,0.2,6,3
1619606059101913000,14,2,0.887266,14.1421,0.2,6,3
1619606059110911000,14,2,0.869949,14.1421,0.2,6,3
1619606059118521000,16,3,0.852278,16.2788,0.2,6,3
1619606059126807000,17,4,0.829382,17.4642,0.2,6,3
1619606059134706000,18,3,0.802837,18.2483,0.2,6,3
1619606059141762000,19,4,0.774162,19.4165,0.2,6,3
1619606059150551000,20,4,0.741468,20.3961,0.2,6,3
1619606059158515000,20,4,0.706876,20.3961,0.2,6,3
1619606059166624000,19,4,0.67177,19.4165,0.2,6,3
1619606059177726000,19,5,0.640154,19.6469,0.2,6,3
1619606059181573000,18,5,0.607204,18.6815,0.2,6,3
1619606059189859000,17,4,0.577567,17.4642,0.2,6,3
1619606059199050000,16,4,0.551241,16.4924,0.2,6,3
1619606059207100000,16,4,0.526842,16.4924,0.2,6,3
1619606059214677000,14,3,0.503414,14.3178,0.2,6,3
